"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"10/01/2015 07:00:00 - 10/01/2015 08:00:00","BZN|SE3","Without sequence","28.43",""
"10/01/2015 08:00:00 - 10/01/2015 09:00:00","BZN|SE3","Without sequence","28.55",""
"10/01/2015 09:00:00 - 10/01/2015 10:00:00","BZN|SE3","Without sequence","28.56",""
"10/01/2015 10:00:00 - 10/01/2015 11:00:00","BZN|SE3","Without sequence","28.58",""
"10/01/2015 11:00:00 - 10/01/2015 12:00:00","BZN|SE3","Without sequence","28.42",""
"10/01/2015 12:00:00 - 10/01/2015 13:00:00","BZN|SE3","Without sequence","28.24",""
"10/01/2015 13:00:00 - 10/01/2015 14:00:00","BZN|SE3","Without sequence","27.96",""
"10/01/2015 14:00:00 - 10/01/2015 15:00:00","BZN|SE3","Without sequence","27.84",""
"10/01/2015 15:00:00 - 10/01/2015 16:00:00","BZN|SE3","Without sequence","27.86",""
"10/01/2015 16:00:00 - 10/01/2015 17:00:00","BZN|SE3","Without sequence","28.13",""
"10/01/2015 17:00:00 - 10/01/2015 18:00:00","BZN|SE3","Without sequence","28.36",""
"10/01/2015 18:00:00 - 10/01/2015 19:00:00","BZN|SE3","Without sequence","28.1",""
"10/01/2015 19:00:00 - 10/01/2015 20:00:00","BZN|SE3","Without sequence","27.71",""
"10/01/2015 20:00:00 - 10/01/2015 21:00:00","BZN|SE3","Without sequence","27.86",""
"10/01/2015 21:00:00 - 10/01/2015 22:00:00","BZN|SE3","Without sequence","27.64",""
"10/01/2015 22:00:00 - 10/01/2015 23:00:00","BZN|SE3","Without sequence","26.46",""
"10/01/2015 23:00:00 - 11/01/2015 00:00:00","BZN|SE3","Without sequence","25.54",""
"11/01/2015 00:00:00 - 11/01/2015 01:00:00","BZN|SE3","Without sequence","24.97",""
"11/01/2015 01:00:00 - 11/01/2015 02:00:00","BZN|SE3","Without sequence","24.22",""
"11/01/2015 02:00:00 - 11/01/2015 03:00:00","BZN|SE3","Without sequence","24.03",""
"11/01/2015 03:00:00 - 11/01/2015 04:00:00","BZN|SE3","Without sequence","23.44",""
"11/01/2015 04:00:00 - 11/01/2015 05:00:00","BZN|SE3","Without sequence","23.56",""
"11/01/2015 05:00:00 - 11/01/2015 06:00:00","BZN|SE3","Without sequence","23.91",""
"11/01/2015 06:00:00 - 11/01/2015 07:00:00","BZN|SE3","Without sequence","23.9",""
"11/01/2015 07:00:00 - 11/01/2015 08:00:00","BZN|SE3","Without sequence","24.71",""
"11/01/2015 08:00:00 - 11/01/2015 09:00:00","BZN|SE3","Without sequence","25.18",""
"11/01/2015 09:00:00 - 11/01/2015 10:00:00","BZN|SE3","Without sequence","25.95",""
"11/01/2015 10:00:00 - 11/01/2015 11:00:00","BZN|SE3","Without sequence","27.11",""
"11/01/2015 11:00:00 - 11/01/2015 12:00:00","BZN|SE3","Without sequence","27.84",""
"11/01/2015 12:00:00 - 11/01/2015 13:00:00","BZN|SE3","Without sequence","27.65",""
"11/01/2015 13:00:00 - 11/01/2015 14:00:00","BZN|SE3","Without sequence","27.68",""
"11/01/2015 14:00:00 - 11/01/2015 15:00:00","BZN|SE3","Without sequence","27.65",""
"11/01/2015 15:00:00 - 11/01/2015 16:00:00","BZN|SE3","Without sequence","27.8",""
"11/01/2015 16:00:00 - 11/01/2015 17:00:00","BZN|SE3","Without sequence","28.6",""
"11/01/2015 17:00:00 - 11/01/2015 18:00:00","BZN|SE3","Without sequence","28.97",""
"11/01/2015 18:00:00 - 11/01/2015 19:00:00","BZN|SE3","Without sequence","29.1",""
"11/01/2015 19:00:00 - 11/01/2015 20:00:00","BZN|SE3","Without sequence","28.9",""
"11/01/2015 20:00:00 - 11/01/2015 21:00:00","BZN|SE3","Without sequence","28.57",""
"11/01/2015 21:00:00 - 11/01/2015 22:00:00","BZN|SE3","Without sequence","28.16",""
"11/01/2015 22:00:00 - 11/01/2015 23:00:00","BZN|SE3","Without sequence","27.98",""
"11/01/2015 23:00:00 - 12/01/2015 00:00:00","BZN|SE3","Without sequence","27.64",""
"12/01/2015 00:00:00 - 12/01/2015 01:00:00","BZN|SE3","Without sequence","28.47",""
"12/01/2015 01:00:00 - 12/01/2015 02:00:00","BZN|SE3","Without sequence","28.1",""
"12/01/2015 02:00:00 - 12/01/2015 03:00:00","BZN|SE3","Without sequence","27.95",""
"12/01/2015 03:00:00 - 12/01/2015 04:00:00","BZN|SE3","Without sequence","28.07",""
"12/01/2015 04:00:00 - 12/01/2015 05:00:00","BZN|SE3","Without sequence","28.48",""
"12/01/2015 05:00:00 - 12/01/2015 06:00:00","BZN|SE3","Without sequence","27.83",""
"12/01/2015 06:00:00 - 12/01/2015 07:00:00","BZN|SE3","Without sequence","29.53",""
"12/01/2015 07:00:00 - 12/01/2015 08:00:00","BZN|SE3","Without sequence","34.59",""
"12/01/2015 08:00:00 - 12/01/2015 09:00:00","BZN|SE3","Without sequence","34.63",""
"12/01/2015 09:00:00 - 12/01/2015 10:00:00","BZN|SE3","Without sequence","34.03",""
"12/01/2015 10:00:00 - 12/01/2015 11:00:00","BZN|SE3","Without sequence","30.84",""
"12/01/2015 11:00:00 - 12/01/2015 12:00:00","BZN|SE3","Without sequence","30.07",""
"12/01/2015 12:00:00 - 12/01/2015 13:00:00","BZN|SE3","Without sequence","29.33",""
"12/01/2015 13:00:00 - 12/01/2015 14:00:00","BZN|SE3","Without sequence","29.39",""
"12/01/2015 14:00:00 - 12/01/2015 15:00:00","BZN|SE3","Without sequence","28.98",""
"12/01/2015 15:00:00 - 12/01/2015 16:00:00","BZN|SE3","Without sequence","29.49",""
